node_id,frame_number,dx_px,dy_px,dist_px
0,80,-15.0,3.0,15.297058540778355
0,81,-15.0,3.0,15.297058540778355
0,82,-15.0,3.0,15.297058540778355
0,83,-15.0,3.0,15.297058540778355
0,84,-15.0,4.0,15.524174696260024
0,85,-15.0,3.0,15.297058540778355
0,86,-15.0,3.0,15.297058540778355
0,87,-15.0,4.0,15.524174696260024
0,88,-15.0,4.0,15.524174696260024
0,89,-15.0,4.0,15.524174696260024
0,90,-16.0,4.0,16.492422502470642
0,91,-16.0,4.0,16.492422502470642
0,92,-16.0,4.0,16.492422502470642
0,93,-16.0,4.0,16.492422502470642
0,94,-16.0,4.0,16.492422502470642
0,95,-16.0,4.0,16.492422502470642
0,96,-16.0,4.0,16.492422502470642
0,97,-17.0,3.0,17.26267650163207
0,98,-16.0,4.0,16.492422502470642
0,99,-16.0,4.0,16.492422502470642
0,100,-16.0,4.0,16.492422502470642
0,101,-16.0,4.0,16.492422502470642
0,102,-16.0,4.0,16.492422502470642
0,103,-16.0,4.0,16.492422502470642
0,104,-16.0,4.0,16.492422502470642
0,105,-16.0,4.0,16.492422502470642
0,106,-16.0,4.0,16.492422502470642
0,107,-16.0,4.0,16.492422502470642
0,108,-16.0,4.0,16.492422502470642
0,109,-16.0,4.0,16.492422502470642
0,110,-16.0,4.0,16.492422502470642
0,111,-16.0,4.0,16.492422502470642
0,112,-16.0,4.0,16.492422502470642
0,113,-16.0,4.0,16.492422502470642
0,114,-16.0,4.0,16.492422502470642
0,115,-16.0,4.0,16.492422502470642
0,116,-16.0,4.0,16.492422502470642
0,117,-16.0,4.0,16.492422502470642
0,118,-16.0,4.0,16.492422502470642
0,119,-16.0,4.0,16.492422502470642
0,120,-16.0,4.0,16.492422502470642
0,121,-16.0,4.0,16.492422502470642
0,122,-16.0,4.0,16.492422502470642
0,123,-16.0,4.0,16.492422502470642
0,124,-16.0,4.0,16.492422502470642
0,125,-16.0,4.0,16.492422502470642
0,126,-16.0,4.0,16.492422502470642
0,127,-17.0,4.0,17.46424919657298
0,128,-17.0,4.0,17.46424919657298
0,129,-17.0,4.0,17.46424919657298
0,130,-17.0,4.0,17.46424919657298
0,131,-17.0,4.0,17.46424919657298
0,132,-17.0,4.0,17.46424919657298
0,133,-18.0,3.0,18.24828759089466
0,134,-18.0,4.0,18.439088914585774
0,135,-17.0,4.0,17.46424919657298
0,136,-18.0,3.0,18.24828759089466
0,137,-19.0,3.0,19.235384061671343
0,138,-19.0,3.0,19.235384061671343
0,139,-19.0,3.0,19.235384061671343
0,140,-19.0,3.0,19.235384061671343
0,141,-19.0,3.0,19.235384061671343
0,142,-19.0,2.0,19.1049731745428
0,143,-20.0,2.0,20.09975124224178
0,144,-20.0,3.0,20.223748416156685
0,145,-19.0,3.0,19.235384061671343
0,146,-20.0,3.0,20.223748416156685
0,147,-20.0,3.0,20.223748416156685
0,148,-20.0,3.0,20.223748416156685
0,149,-20.0,3.0,20.223748416156685
0,150,-19.0,3.0,19.235384061671343
0,151,-20.0,3.0,20.223748416156685
0,152,-20.0,3.0,20.223748416156685
0,153,-20.0,3.0,20.223748416156685
0,154,-20.0,3.0,20.223748416156685
0,155,-19.0,2.0,19.1049731745428
0,156,-19.0,2.0,19.1049731745428
0,157,-19.0,2.0,19.1049731745428
0,158,-19.0,2.0,19.1049731745428
0,159,-19.0,2.0,19.1049731745428
0,160,-19.0,2.0,19.1049731745428
0,161,-19.0,2.0,19.1049731745428
0,162,-19.0,2.0,19.1049731745428
1,1,2.0,0.0,2.0
1,2,2.0,0.0,2.0
1,3,2.0,0.0,2.0
1,4,2.0,0.0,2.0
1,5,2.0,0.0,2.0
1,6,2.0,0.0,2.0
1,7,2.0,0.0,2.0
1,8,2.0,0.0,2.0
